numeor epoch;batch_size;nb_epochs;learning_rate;input_size;hidden_size;output_size;weight_init_range;Training Loss;Validation Loss;Test Loss;Accuracy
1;5;10;0,01;784;128;10;(-0,001, 0,001);0,694909088;0,30591355;0,286001824;91,4
2;5;10;0,01;784;128;10;(-0,001, 0,001);0,256422846;0,224408413;0,207305514;93,94285714
3;5;10;0,01;784;128;10;(-0,001, 0,001);0,192745764;0,200148165;0,180017114;94,54285714
4;5;10;0,01;784;128;10;(-0,001, 0,001);0,155739528;0,160852139;0,144772152;95,77142857
5;5;10;0,01;784;128;10;(-0,001, 0,001);0,129945647;0,146080878;0,128410868;96,24285714
6;5;10;0,01;784;128;10;(-0,001, 0,001);0,112006166;0,131749011;0,115704511;96,58571429
7;5;10;0,01;784;128;10;(-0,001, 0,001);0,097311255;0,12392706;0,108545642;96,88571429
8;5;10;0,01;784;128;10;(-0,001, 0,001);0,086586212;0,125163694;0,110687335;96,78571429
9;5;10;0,01;784;128;10;(-0,001, 0,001);0,077691372;0,114840827;0,098639799;97,08571429
10;5;10;0,01;784;128;10;(-0,001, 0,001);0,070407211;0,106714327;0,093723623;97,3
1;2;10;0,001;784;256;10;(-0,001, 0,001);1,537536931;0,61282388;0,591704308;83,45714286
2;2;10;0,001;784;256;10;(-0,001, 0,001);0,463668234;0,384575037;0,364795504;89,82857143
3;2;10;0,001;784;256;10;(-0,001, 0,001);0,352524005;0,330998846;0,314167384;90,95714286
4;2;10;0,001;784;256;10;(-0,001, 0,001);0,307355318;0,293685459;0,279024198;91,84285714
5;2;10;0,001;784;256;10;(-0,001, 0,001);0,275869404;0,27010549;0,25538821;92,8
6;2;10;0,001;784;256;10;(-0,001, 0,001);0,250966551;0,2496861;0,233968449;93,15714286
7;2;10;0,001;784;256;10;(-0,001, 0,001);0,229669817;0,230965272;0,216366944;93,67142857
8;2;10;0,001;784;256;10;(-0,001, 0,001);0,211622277;0,217160719;0,202872807;94,1
9;2;10;0,001;784;256;10;(-0,001, 0,001);0,196510034;0,204395509;0,189953824;94,55714286
10;2;10;0,001;784;256;10;(-0,001, 0,001);0,182655155;0,193192215;0,177864895;94,84285714
1;3;10;0,001;784;256;10;(-0,001, 0,001);1,914991561;0,946145964;0,947573981;73,6
2;3;10;0,001;784;256;10;(-0,001, 0,001);0,632263683;0,465957391;0,453339652;87,8
3;3;10;0,001;784;256;10;(-0,001, 0,001);0,422879345;0,370769169;0,364862237;89,65714286
4;3;10;0,001;784;256;10;(-0,001, 0,001);0,362683281;0,331445812;0,324121397;90,81428571
5;3;10;0,001;784;256;10;(-0,001, 0,001);0,329544288;0,306316346;0,29992377;91,25714286
6;3;10;0,001;784;256;10;(-0,001, 0,001);0,305979674;0,287731172;0,281817163;91,72857143
7;3;10;0,001;784;256;10;(-0,001, 0,001);0,286535188;0,272204189;0,266564263;92,2
8;3;10;0,001;784;256;10;(-0,001, 0,001);0,269652349;0,257316445;0,25029891;92,74285714
9;3;10;0,001;784;256;10;(-0,001, 0,001);0,254201429;0,246691155;0,23826831;93,01428571
10;3;10;0,001;784;256;10;(-0,001, 0,001);0,240486424;0,235427215;0,228944996;93,24285714
1;4;10;0,001;784;256;10;(-0,001, 0,001);2,167493647;1,514136036;1,514347483;58,44285714
2;4;10;0,001;784;256;10;(-0,001, 0,001);0,896677033;0,596629209;0,582299742;84,72857143
3;4;10;0,001;784;256;10;(-0,001, 0,001);0,507890986;0,439040034;0,423450819;88,68571429
