"numero epoch","batch_size","nb_epochs","learning_rate","input_size","hidden_size","output_size","weight_init_range","Training Loss","Validation Loss","Test Loss","Accuracy",""
"10","3","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.1561753556024","1.9614497612452","1.9767369746191","22.1",""
"1","4","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3019007656688","2.3012827747587","2.30170849623","10.842857142857",""
"2","4","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3012030550601","2.3012841672746","2.301612827846","10.842857142857",""
"3","4","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3011619668537","2.3012199370066","2.3015827531814","10.842857142857",""
"4","4","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3011614946524","2.3013115803401","2.3016361025401","10.842857142857",""
"5","4","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3011526188018","2.3012706072368","2.301560575349","10.842857142857",""
"6","4","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3011473048869","2.3013437299123","2.3015983871732","10.842857142857",""
"7","4","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3011377366951","2.3012334061426","2.3015977719171","10.842857142857",""
"8","4","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3011088475727","2.301254781617","2.3015387768064","10.842857142857",""
"9","4","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.300993313146","2.3009793836351","2.3012359907968","10.842857142857",""
"10","4","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3002531349848","2.298916702876","2.2991633871623","10.842857142857",""
"1","5","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3016401355938","2.3015392739621","2.3015966137818","10.842857142857",""
"2","5","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.301146704881","2.3014941856975","2.3016058695316","10.842857142857",""
"3","5","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3010952946213","2.3015601290597","2.3016361459664","10.842857142857",""
"4","5","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3010832518103","2.3016144430826","2.3016116215501","10.842857142857",""
"5","5","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3010748963744","2.3015223032898","2.3017079940864","10.842857142857",""
"6","5","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.301068922901","2.3015379895294","2.3016797001021","10.842857142857",""
"7","5","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3010673672907","2.3015674153018","2.3015811940602","10.842857142857",""
"8","5","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3010672304365","2.3016069048927","2.3016336328643","10.842857142857",""
"9","5","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3010590088746","2.3015510864674","2.3016671516214","10.842857142857",""
"10","5","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3010350492739","2.3015004324534","2.3015522902352","10.842857142857",""
"1","2","10","0.01","784","(256, 256)","10","(-0,001, 0,001)","1.5357900857314","0.33703225700777","0.33298157464391","90.128571428571",""
"2","2","10","0.01","784","(256, 256)","10","(-0,001, 0,001)","0.22965658278623","0.17309452931217","0.15368098091404","95.371428571428",""
"3","2","10","0.01","784","(256, 256)","10","(-0,001, 0,001)","0.13171794028676","0.145026161865","0.13971902608655","95.928571428571",""
"4","2","10","0.01","784","(256, 256)","10","(-0,001, 0,001)","0.10028223030645","0.12899420846637","0.1188350836253","96.571428571428",""
